player,team,fgp3_nba_range,fgp3_in_nba,diff,fga3_nba_range,fga3_in_nba
Denzel Valentine,Michigan State,0.44339622641509433962,0.37522123893805309735,-0.06817498747704124227,212,565
Bryn Forbes,Michigan State,0.44025157232704402516,0.36823104693140794224,-0.07202052539563608292,159,277
Yogi Ferrell,Indiana,0.42259414225941422594,0.38056680161943319838,-0.04202734063998102756,239,494
Josh Hart,Villanova,0.41981132075471698113,0.39735099337748344371,-0.02246032737723353742,212,151
Malik Monk,Kentucky,0.41732283464566929134,0.32432432432432432432,-0.09299851032134496702,127,185
Tyler Ulis,Kentucky,0.40909090909090909091,0.26666666666666666667,-0.14242424242424242424,110,195
Pat Connaughton,Notre Dame,0.40268456375838926174,0.35686274509803921569,-0.04582181866035004605,149,255
Tyler Dorsey,Oregon,0.40000000000000000000,0.34375000000000000000,-0.05625000000000000000,150,160
Ron Baker,Wichita State,0.39726027397260273973,0.27966101694915254237,-0.11759925702345019736,219,118
Malcolm Brogdon,Virginia,0.39506172839506172840,0.39509536784741144414,0.00003363945234971574,162,367
Dillon Brooks,Oregon,0.39354838709677419355,0.36283185840707964602,-0.03071652868969454753,155,226
Buddy Hield,Oklahoma,0.39222614840989399293,0.40482573726541554960,0.01259958885552155667,283,746
Lonzo Ball,UCLA,0.38888888888888888889,0.30479452054794520548,-0.08409436834094368341,126,292
Luke Kennard,Duke,0.38311688311688311688,0.39411764705882352941,0.01100076394194041253,154,170
Isaiah Whitehead,Seton Hall,0.37500000000000000000,0.30538922155688622754,-0.06961077844311377246,192,167
Darrun Hilliard,Villanova,0.37086092715231788079,0.30392156862745098039,-0.06693935852486690040,151,102
Donovan Mitchell,Louisville,0.36486486486486486486,0.33800000000000000000,-0.02686486486486486486,148,500
Fred VanVleet,Wichita State,0.36111111111111111111,0.40520446096654275093,0.04409334985543163982,108,269
Jamal Murray,Kentucky,0.34615384615384615385,0.36202185792349726776,0.01586801176965111391,130,732
Taurean Prince,Baylor,0.34453781512605042017,0.36801541425818882466,0.02347759913213840449,119,519
Patrick McCaw,UNLV,0.32539682539682539683,0.30275229357798165138,-0.02264453181884374545,126,218
Terry Rozier,Louisville,0.26923076923076923077,0.35955056179775280899,0.09031979256698357822,104,623
Dorian Finney-Smith,Florida,0.25899280575539568345,0.29411764705882352941,0.03512484130342784596,139,221
